"product_name","description","image_link","price","rating","store_name"
"OPPO F9 6/64 GB","Tangerang","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/7/7ecea239-6987-408d-bc4e-aacae4ee3f98.png.webp?ect=4g","Rp1.551.000",5,"victoriaphone89"
"HP HAPE HANDPHONE NOKIA 1280 JADUL BARU NEW TERMURAH MURAH 11 - Hitam","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/16/c258f4e8-3952-4281-8a38-f07c1110c709.jpg.webp?ect=4g","Rp97.900",5,"Toko Absolute 1"
"OPPO F9 6/64 GB","Jakarta Barat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/10/21/1d0e9d33-bb47-4bcc-bfc1-08b6a9ca0003.jpg.webp?ect=4g","Rp1.548.000",5,"Zhongkai Jianba"
"HP HANDPHONE NOKIA 106 2018 JADUL BARU NEW DUAL SIM TERMURAH MURAH 2 - Hitam","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/8/eebd425f-9deb-43dc-8447-770e7208d7fc.jpg.webp?ect=4g","Rp137.900",5,"Toko Absolute 1"
"OPPO A3S 3/32 GB","Jakarta Barat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/10/20/2c216ef0-c98e-48e5-84e2-103c6059f3c5.jpg.webp?ect=4g","Rp1.268.000",5,"Zhongkai Jianba"
"(IBOX) iPhone 11 64GB 128GB 256GB Garansi Resmi TAM 1 Tahun 64 128 256","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/product-1/2020/7/15/10122977/10122977_145b7874-cc9c-4580-b2f4-be3fd250f20b_700_700.webp?ect=4g","Rp10.790.000",5,"Putra Group"
"iPhone 8 SECOND","Jakarta Barat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/2/6eb486d5-f3bc-46ce-a381-717b480e9517.jpg.webp?ect=4g","Rp2.900.000",5,"KEY PHONE CELLULAR"
"Oppo Reno 5 Ram 8 / 128 GB Garansi Resmi Oppo 1 Tahun","Jakarta Utara","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/22/bd6b15ef-d320-4ea7-a797-f33f6f8f3058.jpg.webp?ect=4g","Rp4.275.000",5,"raymond acc"
"Xiaomi Official Redmi Note 9 4/64 GB Garansi Resmi Mi Smartphone","Kab. Tangerang","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/20/e830985e-6ee8-4f5f-be38-12a6af90e410.jpg.webp?ect=4g","Rp1.999.000",5,"Xiaomi Official Store"
"(IBOX) iPhone 12 Mini 64GB 128GB 256GB Garansi Resmi 64 128 256 GB","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/17/87003f8e-8863-4167-a743-7dd9e0288cc8.jpg.webp?ect=4g","Rp10.990.000",5,"Putra Group"
"OPPO A92 2020 Ram 8/128GB Garansi Resmi OPPO INDONESIA","Jakarta Barat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/5/10/45cc82c0-a68a-4d30-8e82-ccc98398c2c1.jpg.webp?ect=4g","Rp3.099.000",5,"OVANST0RE"
"Apple iPhone XR 64 GB - Garansi Resmi Apple indonesia ibox (TAM)","Jakarta Utara","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/9/b2703941-bd06-4900-9d5a-c0be166332c3.jpg.webp?ect=4g","Rp7.299.000",5,"Universe Store"
"OPPO A15S RAM 4/64 GB GARANSI RESMI OPPO INDONESIA","Jakarta Barat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/21/f3ad83d0-74cf-411a-bdbb-2d3e73f360ee.jpg.webp?ect=4g","Rp1.749.000",5,"Grandstore cell"
"Xiaomi Official Poco X3 NFC 8/128GB Snapdragon™ 732G Mi Smartphone","Kab. Tangerang","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/6/d4e8ad7c-0ad3-4441-a3fb-72918af91c33.png.webp?ect=4g","Rp3.299.000",5,"Xiaomi Official Store"
"Samsung Galaxy M31 6/128 GB Garansi Resmi SEIN","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/product-1/2020/3/24/2608727/2608727_a5a2e530-f6b4-4840-a708-f6224024395a_800_800.webp?ect=4g","Rp2.995.000",5,"Gudang-HP"
"Iphone XS 64gb Bekas Fullset","Jakarta Barat","https://images.tokopedia.net/img/cache/200-square/attachment/2019/4/20/155574790561029/155574790561029_02683752-0812-43ce-87b4-bd41a68ad24b.png.webp?ect=4g","Rp5.800.000",5,"Boboy Store"
"Samsung Galaxy A12 6/128 GB Garansi Resmi SEIN","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/29/520f7c61-b341-42e1-a829-9cb4cc5b1677.jpg.webp?ect=4g","Rp2.488.000",5,"Gudang-HP"
"realme X3 SuperZoom 12/256GB 60X Periscope Zoom Snapdragon 855+ NFC","Tangerang","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/6/140cc4e5-59fd-4d9a-82e1-05c76c728c5f.jpg.webp?ect=4g","Rp5.599.000",5,"realme Official Store"
"SAMSUNG GALAXY A12 6/128 GB GARANSI RESMI SAMSUNG INDONESIA","Jakarta Timur","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/23/f1a4473a-5788-4843-a926-4d811ae18783.jpg.webp?ect=4g","Rp2.498.000",5,"Star Shop V"
"Samsung Galaxy A02s 4/64 GB Garansi Resmi SEIN","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/9/652c5287-93a0-41d1-8f2d-e7b155e7eeb1.jpg.webp?ect=4g","Rp1.792.000",5,"Gudang-HP"
"Samsung Galaxy A02 3/32 GB Garansi Resmi SEIN","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/18/1bfa6f89-cf7e-4c54-9fd1-3e2713cbdb4c.jpg.webp?ect=4g","Rp1.371.000",5,"Gudang-HP"
